country,mot_cle,score
Monaco,crypto,0
Mongolie,crypto,16
Montserrat,crypto,0
Monténégro,crypto,22
Mozambique,crypto,6
Myanmar (Birmanie),crypto,29
Namibie,crypto,25
Nauru,crypto,0
Nicaragua,crypto,5
Niger,crypto,20
Nigeria,crypto,79
Niue,crypto,0
Norvège,crypto,25
Nouvelle-Calédonie,crypto,49
Nouvelle-Zélande,crypto,33
Népal,crypto,18
Oman,crypto,15
Ouganda,crypto,16
Ouzbékistan,crypto,12
Pakistan,crypto,41
Palaos,crypto,21
Palestine,crypto,11
Panama,crypto,12
Papouasie-Nouvelle-Guinée,crypto,17
Paraguay,crypto,8
Pays-Bas,crypto,67
Pays-Bas caribéens,crypto,30
Philippines,crypto,21
Pologne,crypto,13
Polynésie française,crypto,56
Porto Rico,crypto,17
Portugal,crypto,25
Pérou,crypto,5
Qatar,crypto,21
Roumanie,crypto,26
Royaume-Uni,crypto,30
Russie,crypto,8
Rwanda,crypto,17
République centrafricaine,crypto,9
République dominicaine,crypto,8
Sahara occidental,crypto,13
Saint-Barthélemy,crypto,37
Saint-Christophe-et-Niévès,crypto,27
Saint-Marin,crypto,23
Saint-Martin,crypto,59
Saint-Martin (partie néerlandaise),crypto,44
Saint-Pierre-et-Miquelon,crypto,0
Saint-Vincent-et-les Grenadines,crypto,34
Sainte-Hélène,crypto,69
Sainte-Lucie,crypto,38
Salvador,crypto,6
Samoa,crypto,11
Samoa américaines,crypto,27
Sao Tomé-et-Principe,crypto,0
Serbie,crypto,20
Seychelles,crypto,22
Sierra Leone,crypto,16
Singapour,crypto,58
Slovaquie,crypto,17
Slovénie,crypto,42
Somalie,crypto,71
Soudan,crypto,5
Soudan du Sud,crypto,16
Sri Lanka,crypto,28
Suisse,crypto,36
Suriname,crypto,34
Suède,crypto,19
Svalbard et Jan Mayen,crypto,56
Syrie,crypto,6
Sénégal,crypto,15
Tadjikistan,crypto,7
Tanzanie,crypto,10
Taïwan,crypto,8
Tchad,crypto,9
Tchéquie,crypto,16
Terres australes françaises,crypto,0
Territoire britannique de l’océan Indien,crypto,0
Thaïlande,crypto,13
Timor oriental,crypto,10
Togo,crypto,37
Tokelau,crypto,0
Tonga,crypto,29
Trinité-et-Tobago,crypto,30
Tunisie,crypto,18
Turkménistan,crypto,5
Turquie,crypto,6
Tuvalu,crypto,0
