country,mot_cle,score,country_clean
Tonga,artificial intelligence,17,tonga
Trinité-et-Tobago,artificial intelligence,9,trinite-et-tobago
Tunisie,artificial intelligence,6,tunisia
Turkménistan,artificial intelligence,1,turkmenistan
Turquie,artificial intelligence,3,turkey
Tuvalu,artificial intelligence,0,tuvalu
Ukraine,artificial intelligence,2,ukraine
Uruguay,artificial intelligence,2,uruguay
Vanuatu,artificial intelligence,0,vanuatu
Venezuela,artificial intelligence,1,venezuela
Viêt Nam,artificial intelligence,5,viet nam
Wallis-et-Futuna,artificial intelligence,0,wallis-et-futuna
Yémen,artificial intelligence,6,yemen
Zambie,artificial intelligence,8,zambie
Zimbabwe,artificial intelligence,20,zimbabwe
Égypte,artificial intelligence,6,egypt
Émirats arabes unis,artificial intelligence,11,united arab emirates
Équateur,artificial intelligence,3,equateur
Érythrée,artificial intelligence,100,erythree
État de la Cité du Vatican,artificial intelligence,0,etat de la cite du vatican
États-Unis,artificial intelligence,10,united states
Éthiopie,artificial intelligence,23,ethiopie
Île Bouvet,artificial intelligence,0,ile bouvet
Île Christmas,artificial intelligence,0,ile christmas
Île Norfolk,artificial intelligence,0,ile norfolk
Île de Man,artificial intelligence,5,ile de man
Îles Caïmans,artificial intelligence,6,iles caimans
Îles Cocos,artificial intelligence,0,iles cocos
Îles Cook,artificial intelligence,26,iles cook
Îles Féroé,artificial intelligence,0,iles feroe
Îles Heard-et-MacDonald,artificial intelligence,0,iles heard-et-macdonald
Îles Malouines (Îles Falkland),artificial intelligence,0,iles malouines (iles falkland)
Îles Mariannes du Nord,artificial intelligence,0,iles mariannes du nord
Îles Marshall,artificial intelligence,0,iles marshall
Îles Pitcairn,artificial intelligence,0,iles pitcairn
Îles Salomon,artificial intelligence,15,iles salomon
Îles Turques-et-Caïques,artificial intelligence,0,iles turques-et-caiques
Îles Vierges britanniques,artificial intelligence,0,iles vierges britanniques
Îles Vierges des États-Unis,artificial intelligence,6,iles vierges des etats-unis
Îles mineures éloignées des États-Unis,artificial intelligence,0,iles mineures eloignees des etats-unis
Îles Åland,artificial intelligence,0,iles aland
Afghanistan,crypto,23,afghanistan
Afrique du Sud,crypto,22,south africa
Albanie,crypto,39,albania
Algérie,crypto,11,algeria
Allemagne,crypto,20,germany
Andorre,crypto,43,andorre
Angola,crypto,8,angola
Anguilla,crypto,0,anguilla
Antarctique,crypto,0,antarctique
Antigua-et-Barbuda,crypto,28,antigua-et-barbuda
Arabie saoudite,crypto,11,saudi arabia
Argentine,crypto,10,argentina
Arménie,crypto,23,armenia
Aruba,crypto,34,aruba
Australie,crypto,40,australia
Autriche,crypto,19,austria
Azerbaïdjan,crypto,14,azerbaidjan
Bahamas,crypto,36,bahamas
Bahreïn,crypto,27,bahrein
Bangladesh,crypto,19,bangladesh
Barbade,crypto,28,barbade
Belgique,crypto,42,belgium
Belize,crypto,15,belize
Bermudes,crypto,54,bermudes
Bhoutan,crypto,32,bhoutan
Biélorussie,crypto,6,belarus
Bolivie,crypto,8,bolivia
Bosnie-Herzégovine,crypto,17,bosnie-herzegovine
Botswana,crypto,20,botswana
Brunei,crypto,14,brunei
Brésil,crypto,7,brazil
Bulgarie,crypto,26,bulgaria
Burkina Faso,crypto,38,burkina faso
Burundi,crypto,29,burundi
Bénin,crypto,47,benin
Cambodge,crypto,55,cambodia
Cameroun,crypto,24,cameroon
Canada,crypto,36,canada
Cap-Vert,crypto,18,cap-vert
Chili,crypto,6,chile
Chine,crypto,28,china
Chypre,crypto,48,chypre
Colombie,crypto,6,colombia
Comores,crypto,0,comores
Congo-Brazzaville,crypto,22,congo-brazzaville
Congo-Kinshasa,crypto,8,congo-kinshasa
Corée du Nord,crypto,0,coree du nord
Corée du Sud,crypto,20,south korea
Costa Rica,crypto,10,costa rica
Croatie,crypto,26,croatia
Cuba,crypto,5,cuba
Curaçao,crypto,38,curacao
Côte d’Ivoire,crypto,19,cote divoire
Danemark,crypto,18,denmark
Djibouti,crypto,27,djibouti
Dominique,crypto,29,dominique
Espagne,crypto,16,spain
Estonie,crypto,33,estonia
Eswatini,crypto,23,eswatini
Fidji,crypto,13,fidji
Finlande,crypto,23,finland
France,crypto,28,france
Gabon,crypto,18,gabon
Gambie,crypto,16,gambie
Ghana,crypto,30,ghana
Gibraltar,crypto,83,gibraltar
Grenade,crypto,20,grenade
Groenland,crypto,21,groenland
Grèce,crypto,20,greece
Guadeloupe,crypto,31,guadeloupe
Guam,crypto,29,guam
Guatemala,crypto,4,guatemala
Guernesey,crypto,46,guernesey
Guinée,crypto,13,guinee
Guinée équatoriale,crypto,13,guinee equatoriale
Guinée-Bissau,crypto,5,guinee-bissau
Guyana,crypto,15,guyana
Guyane française,crypto,30,guyane francaise
Géorgie,crypto,26,georgie
Géorgie du Sud-et-les Îles Sandwich du Sud,crypto,0,georgie du sud-et-les iles sandwich du sud
Haïti,crypto,11,haiti
Honduras,crypto,5,honduras
Hong Kong,crypto,26,hong kong
Hongrie,crypto,16,hungary
Inde,crypto,18,india
Indonésie,crypto,23,indonesia
Irak,crypto,14,irak
Iran,crypto,6,iran
Irlande,crypto,31,ireland
Islande,crypto,27,iceland
Israël,crypto,20,israel
Italie,crypto,16,italy
Jamaïque,crypto,22,jamaique
Japon,crypto,4,japan
Jersey,crypto,57,jersey
Jordanie,crypto,14,jordanie
Kazakhstan,crypto,7,kazakhstan
Kenya,crypto,32,kenya
Kirghizstan,crypto,8,kirghizstan
Kiribati,crypto,0,kiribati
Kosovo,crypto,56,kosovo
Koweït,crypto,16,koweit
La Réunion,crypto,21,la reunion
Laos,crypto,33,laos
Lesotho,crypto,18,lesotho
Lettonie,crypto,37,lettonie
Liban,crypto,27,liban
Liberia,crypto,13,liberia
Libye,crypto,9,libye
Liechtenstein,crypto,40,liechtenstein
Lituanie,crypto,35,lituanie
Luxembourg,crypto,41,luxembourg
Macao,crypto,11,macao
Macédoine du Nord,crypto,43,macedoine du nord
Madagascar,crypto,39,madagascar
Malaisie,crypto,21,malaysia
Malawi,crypto,15,malawi
Maldives,crypto,42,maldives
Mali,crypto,8,mali
Malte,crypto,54,malte
Maroc,crypto,21,morocco
Martinique,crypto,24,martinique
Maurice,crypto,28,maurice
Mauritanie,crypto,12,mauritanie
Mayotte,crypto,15,mayotte
Mexique,crypto,6,mexico
Micronésie,crypto,23,micronesie
Moldavie,crypto,21,moldavie
Monaco,crypto,0,monaco
Mongolie,crypto,16,mongolie
Montserrat,crypto,0,montserrat
Monténégro,crypto,22,montenegro
Mozambique,crypto,6,mozambique
Myanmar (Birmanie),crypto,29,myanmar (birmanie)
Namibie,crypto,25,namibie
Nauru,crypto,0,nauru
Nicaragua,crypto,5,nicaragua
Niger,crypto,20,niger
Nigeria,crypto,79,nigeria
Niue,crypto,0,niue
Norvège,crypto,25,norway
Nouvelle-Calédonie,crypto,49,nouvelle-caledonie
Nouvelle-Zélande,crypto,33,new zealand
Népal,crypto,18,nepal
Oman,crypto,15,oman
Ouganda,crypto,16,ouganda
Ouzbékistan,crypto,12,ouzbekistan
Pakistan,crypto,41,pakistan
Palaos,crypto,21,palaos
Palestine,crypto,11,palestine
Panama,crypto,12,panama
Papouasie-Nouvelle-Guinée,crypto,17,papouasie-nouvelle-guinee
Paraguay,crypto,8,paraguay
Pays-Bas,crypto,67,netherlands
Pays-Bas caribéens,crypto,30,pays-bas caribeens
Philippines,crypto,21,philippines
Pologne,crypto,13,poland
Polynésie française,crypto,56,polynesie francaise
Porto Rico,crypto,17,porto rico
Portugal,crypto,25,portugal
Pérou,crypto,5,peru
Qatar,crypto,21,qatar
Roumanie,crypto,26,romania
Royaume-Uni,crypto,30,united kingdom
